time,number,latitude,longitude,t2m
2022-01-01 12:00:00,2,30.0,-2.25,288.4436890078823
2022-01-01 12:00:00,2,30.0,-2.0,288.25572298998804
2022-01-01 12:00:00,2,30.0,-1.75,288.15278921828406
2022-01-01 12:00:00,2,30.0,-1.5,288.04985544658007
2022-01-01 12:00:00,2,30.0,-1.25,287.9782493445251
2022-01-01 12:00:00,2,30.0,-1.0,287.9066432424702
2022-01-01 12:00:00,2,29.75,-3.0,288.63613040715495
2022-01-01 12:00:00,2,29.75,-2.75,288.7211626533452
2022-01-01 12:00:00,2,29.75,-2.5,288.8061948995354
2022-01-01 12:00:00,2,29.75,-2.25,288.7211626533452
2022-01-01 12:00:00,2,29.75,-2.0,288.5376720168294
2022-01-01 12:00:00,2,29.75,-1.75,288.4347382451254
2022-01-01 12:00:00,2,29.75,-1.5,288.31837832928613
2022-01-01 12:00:00,2,29.75,-1.25,288.19306765068995
2022-01-01 12:00:00,2,29.75,-1.0,288.121461548635
2022-01-01 12:00:00,2,29.5,-3.0,288.81514566229225
2022-01-01 12:00:00,2,29.5,-2.75,288.90017790848253
2022-01-01 12:00:00,2,29.5,-2.5,288.98073477329433
2022-01-01 12:00:00,2,29.5,-2.25,288.90017790848253
2022-01-01 12:00:00,2,29.5,-2.0,288.81514566229225
2022-01-01 12:00:00,2,29.5,-1.75,288.7032611278314
2022-01-01 12:00:00,2,29.5,-1.5,288.59137659337057
2022-01-01 12:00:00,2,29.5,-1.25,288.46606591477445
2022-01-01 12:00:00,2,29.5,-1.0,288.3407552361783
2022-01-01 12:00:00,2,29.25,-3.0,289.0657670194846
2022-01-01 12:00:00,2,29.25,-2.75,289.0433901125924
2022-01-01 12:00:00,2,29.25,-2.5,289.1239469774042
2022-01-01 12:00:00,2,29.25,-2.25,289.0433901125924
2022-01-01 12:00:00,2,29.25,-2.0,288.90465328986096
2022-01-01 12:00:00,2,29.25,-1.75,288.8285718064276
2022-01-01 12:00:00,2,29.25,-1.5,288.71668727196675
2022-01-01 12:00:00,2,29.25,-1.25,288.59137659337057
2022-01-01 12:00:00,2,29.25,-1.0,288.57347506785686
2022-01-01 12:00:00,2,29.0,-3.0,289.31638837667685
2022-01-01 12:00:00,2,29.0,-2.75,289.2940114697847
2022-01-01 12:00:00,2,29.0,-2.5,289.27163456289253
2022-01-01 12:00:00,2,29.0,-2.25,289.13289774016107
2022-01-01 12:00:00,2,29.0,-2.0,288.99863629880804
2022-01-01 12:00:00,2,29.0,-1.75,288.91807943399624
2022-01-01 12:00:00,2,29.0,-1.5,288.83752256918444
2022-01-01 12:00:00,2,29.0,-1.25,288.81962104367074
2022-01-01 12:00:00,2,29.0,-1.0,288.801719518157
2022-01-01 12:00:00,2,28.75,-3.0,289.4730267249221
2022-01-01 12:00:00,2,28.75,-2.75,289.4506498180299
2022-01-01 12:00:00,2,28.75,-2.5,289.37904371597494
2022-01-01 12:00:00,2,28.75,-2.25,289.2671591815141
2022-01-01 12:00:00,2,28.75,-2.0,289.12842235878264
2022-01-01 12:00:00,2,28.75,-1.75,289.0523408753493
2022-01-01 12:00:00,2,28.75,-1.5,289.0120624429434
2022-01-01 12:00:00,2,28.75,-1.25,289.0210132057002
2022-01-01 12:00:00,2,28.75,-1.0,289.0031116801865
2022-01-01 12:00:00,3,31.0,-3.0,287.44567896049153
2022-01-01 12:00:00,3,31.0,-2.75,287.6425957411426
2022-01-01 12:00:00,3,31.0,-2.5,287.8395125217937
2022-01-01 12:00:00,3,31.0,-2.25,287.6202188342504
2022-01-01 12:00:00,3,31.0,-2.0,287.3964497653287
2022-01-01 12:00:00,3,31.0,-1.75,287.2577129425973
2022-01-01 12:00:00,3,31.0,-1.5,287.11450073848744
2022-01-01 12:00:00,3,31.0,-1.25,287.09212383159525
2022-01-01 12:00:00,3,31.0,-1.0,287.06974692470305
2022-01-01 12:00:00,3,30.75,-3.0,287.7097264618191
2022-01-01 12:00:00,3,30.75,-2.75,287.9066432424702
2022-01-01 12:00:00,3,30.75,-2.5,288.0364293024448
2022-01-01 12:00:00,3,30.75,-2.25,287.81713561490153
2022-01-01 12:00:00,3,30.75,-2.0,287.59336654597985
2022-01-01 12:00:00,3,30.75,-1.75,287.4546297232484
2022-01-01 12:00:00,3,30.75,-1.5,287.3248436632738
2022-01-01 12:00:00,3,30.75,-1.25,287.29351599362474
2022-01-01 12:00:00,3,30.75,-1.0,287.2711390867326
2022-01-01 12:00:00,3,30.5,-3.0,287.97377396314675
2022-01-01 12:00:00,3,30.5,-2.75,288.1035600231213
2022-01-01 12:00:00,3,30.5,-2.5,288.23334608309585
2022-01-01 12:00:00,3,30.5,-2.25,288.01405239555265
2022-01-01 12:00:00,3,30.5,-2.0,287.79475870800934
2022-01-01 12:00:00,3,30.5,-1.75,287.6649726480348
2022-01-01 12:00:00,3,30.5,-1.5,287.53518658806024
2022-01-01 12:00:00,3,30.5,-1.25,287.5038589184112
2022-01-01 12:00:00,3,30.5,-1.0,287.47253124876215
2022-01-01 12:00:00,3,30.25,-3.0,288.1841168879331
2022-01-01 12:00:00,3,30.25,-2.75,288.25572298998804
2022-01-01 12:00:00,3,30.25,-2.5,288.3899844313411
2022-01-01 12:00:00,3,30.25,-2.25,288.1662153624194
2022-01-01 12:00:00,3,30.25,-2.0,287.96482320038984
2022-01-01 12:00:00,3,30.25,-1.75,287.8797909541996
2022-01-01 12:00:00,3,30.25,-1.5,287.750004894225
2022-01-01 12:00:00,3,30.25,-1.25,287.718677224576
2022-01-01 12:00:00,3,30.25,-1.0,287.6783987921701
2022-01-01 12:00:00,3,30.0,-3.0,288.3944598127195
2022-01-01 12:00:00,3,30.0,-2.75,288.4705412961529
2022-01-01 12:00:00,3,30.0,-2.5,288.5421473982078
2022-01-01 12:00:00,3,30.0,-2.25,288.3407552361783
2022-01-01 12:00:00,3,30.0,-2.0,288.13488769277035
2022-01-01 12:00:00,3,30.0,-1.75,288.04985544658007
2022-01-01 12:00:00,3,30.0,-1.5,287.96482320038984
2022-01-01 12:00:00,3,30.0,-1.25,287.9290201493624
